first_name,last_name,nickname,date_of_birth,nationality,club_name,coach_name,discipline,weight_class,weight_kg,height_cm,status,public_profile_consent,baseline_wins,baseline_losses,baseline_draws,baseline_kos
Rui,Tavares,O Falcão,1994-03-11,Portugal,Scorpion Gym Lisboa,Kru Ana Bastos,MuayThai,-72kg,71.4,178,Professional,1,14,3,1,8
Marta,Ferreira,,1999-08-22,Portugal,Team Leiria Fight,Mestre Paulo Nunes,Kickboxing,-56kg,55.8,164,Professional,1,7,2,0,2
Tiago,Baptista,,2001-04-17,Portugal,Almada Muay Thai,Kru Sérgio Lopes,MuayThai,-63kg,62.5,172,Amateur,1,3,1,0,1
Sara,Nogueira,Fúria,1997-02-05,Portugal,Porto Fight Academy,Mestre Hugo Cardoso,Boxing,-60kg,59.7,168,Professional,1,9,4,1,3
Beatriz,Amaral,,2010-06-19,Portugal,Braga Kickboxing Clube,Mestre Vítor Pinto,Kickboxing,-45kg,44.9,154,Amateur,0,1,1,0,0
André,Coelho,Trovão,1992-11-30,Portugal,Coimbra Combat Center,Kru Miguel Costa,K1,-81kg,80.6,182,Professional,1,16,5,2,9
Carla,Mendes,,1995-07-08,Portugal,Guerreiros do Minho,Mestre André Sousa,MuayThai,-52kg,51.8,160,Amateur,1,2,0,0,0
Yassine,El Amrani,,1997-11-30,Marrocos,Scorpion Gym Lisboa,Kru Ana Bastos,Kickboxing,-63kg,62.9,172,Professional,1,9,4,1,5
Bruno,Antunes,Tanque,1990-01-15,Portugal,Clube de Combate do Algarve,Treinador Nuno Ramos,Boxing,-91kg,90.2,188,Professional,1,12,6,0,7
Inês,Rodrigues,,1998-09-27,Portugal,Dragão Fight Team,Mestre Diogo Martins,MuayThai,-56kg,55.5,163,Amateur,1,4,2,0,1
Filipe,Guerreiro,Relâmpago,1993-05-03,Portugal,Évora Boxe Clube,Treinador Luís Rocha,K1,-76kg,75.4,179,Professional,1,11,3,1,6
Débora,Pereira,,2009-09-12,Portugal,Team Leiria Fight,Mestre Paulo Nunes,MuayThai,-60kg,59.3,170,Amateur,0,0,1,0,0
Joana,Marques,Pantera,1996-12-02,Portugal,Almada Muay Thai,Kru Sérgio Lopes,Kickboxing,-60kg,59.9,166,Amateur,1,3,2,0,1
Ricardo,Neves,,1991-03-21,Portugal,Porto Fight Academy,Treinador Bruno Faria,Mma,-77kg,76.8,178,Professional,1,8,5,0,4
Sofia,Cardoso,,2000-10-14,Portugal,Braga Kickboxing Clube,Mestre Vítor Pinto,Boxing,-54kg,53.9,162,Amateur,1,2,1,0,0
Miguel,Sá,Fantasma,1994-06-25,Portugal,Coimbra Combat Center,Kru Miguel Costa,K1,-86kg,85.5,184,Professional,1,10,7,1,5
Rita,Bastos,,1999-01-09,Portugal,Guerreiros do Minho,Mestre André Sousa,MuayThai,-52kg,51.5,159,Amateur,1,5,1,0,2
Paulo,Esteves,Machado,1988-08-08,Portugal,Clube de Combate do Algarve,Treinador Nuno Ramos,Boxing,-81kg,80.9,181,Professional,1,15,8,2,10
Rafael,Souza,,1996-02-17,Brasil,Dragão Fight Team,Mestre Diogo Martins,Mma,-70kg,69.6,174,Professional,1,7,3,0,4
Cátia,Salgado,Vespa,1997-04-04,Portugal,Évora Boxe Clube,Treinador Luís Rocha,Kickboxing,-56kg,55.4,163,Amateur,1,3,3,0,1
Nuno,Barreto,,1993-10-29,Portugal,Scorpion Gym Lisboa,Mestre Rui Tavares,K1,-91kg,90.8,189,Professional,1,13,4,1,7
Helena,Duarte,Lince,1998-05-16,Portugal,Team Leiria Fight,Mestre Paulo Nunes,MuayThai,-60kg,59.1,167,Amateur,1,4,1,0,2
Vasco,Correia,,1995-09-02,Portugal,Almada Muay Thai,Kru Sérgio Lopes,Boxing,-75kg,74.6,177,Professional,1,9,6,1,5
Mariana,Freitas,,2001-01-23,Portugal,Porto Fight Academy,Mestre Hugo Cardoso,Kickboxing,-52kg,51.9,160,Amateur,1,2,2,0,1
Gonçalo,Rocha,Urso,1990-12-11,Portugal,Braga Kickboxing Clube,Mestre Vítor Pinto,K1,+91kg,98.3,192,Professional,1,17,6,0,11
Teresa,Lima,,1994-07-19,Portugal,Coimbra Combat Center,Kru Miguel Costa,MuayThai,-56kg,55.6,164,Amateur,1,6,2,0,2
Hugo,Faria,Cobra,1989-03-27,Portugal,Guerreiros do Minho,Mestre André Sousa,Boxing,-86kg,85.7,185,Professional,1,12,9,1,6
Patrícia,Vieira,,1999-11-05,Portugal,Clube de Combate do Algarve,Treinador Nuno Ramos,Kickboxing,-60kg,59.6,165,Amateur,1,1,0,0,0
Duarte,Machado,,1992-08-14,Portugal,Dragão Fight Team,Mestre Diogo Martins,Mma,-84kg,83.5,180,Professional,1,10,4,1,6
Amílcar,Fontes,Leão,1995-06-06,Cabo Verde,Évora Boxe Clube,Treinador Luís Rocha,Boxing,-81kg,80.4,183,Professional,1,8,2,1,5
Cristiana,Antão,,2000-02-28,Portugal,Scorpion Gym Lisboa,Kru Ana Bastos,MuayThai,-52kg,51.7,158,Amateur,1,3,1,0,1
Emanuel,Vaz,Foguete,1996-10-09,Portugal,Team Leiria Fight,Mestre Paulo Nunes,Kickboxing,-67kg,66.5,173,Professional,1,6,5,0,3
Beatriz,Salvador,,1998-12-20,Portugal,Almada Muay Thai,Kru Sérgio Lopes,MuayThai,-56kg,55.2,162,Amateur,1,5,3,1,2
Tomás,Abrantes,,1991-04-01,Portugal,Porto Fight Academy,Treinador Bruno Faria,K1,-76kg,75.8,178,Professional,1,9,7,0,4
Leonor,Pacheco,Sombra,1997-09-15,Portugal,Braga Kickboxing Clube,Mestre Vítor Pinto,Boxing,-60kg,59.4,165,Amateur,1,2,1,0,1
Fábio,Rebelo,,1993-01-30,Portugal,Coimbra Combat Center,Kru Miguel Costa,Mma,-77kg,76.5,177,Professional,1,7,4,1,3
Alice,Cunha,,1999-06-11,Portugal,Guerreiros do Minho,Mestre André Sousa,Kickboxing,-52kg,51.6,159,Amateur,1,1,1,0,0
Rodrigo,Pinheiro,Máquina,1988-05-22,Portugal,Clube de Combate do Algarve,Treinador Nuno Ramos,Boxing,-91kg,90.5,187,Professional,1,14,10,2,8
Vera,Brandão,,1996-03-08,Portugal,Dragão Fight Team,Mestre Diogo Martins,MuayThai,-60kg,59.8,166,Amateur,1,4,3,0,1
Leonardo,Matias,,2011-03-14,Portugal,Évora Boxe Clube,Treinador Luís Rocha,MuayThai,-60kg,58.9,167,Amateur,0,0,0,0,0
Mafalda,Teixeira,,2010-11-02,Portugal,Scorpion Gym Lisboa,Kru Ana Bastos,Kickboxing,-52kg,51.0,158,Amateur,0,0,0,0,0
Simão,Reis,Novato,2003-05-19,Portugal,Team Leiria Fight,Mestre Paulo Nunes,Boxing,-67kg,66.8,174,Amateur,1,0,0,0,0
Carolina,Assunção,,2004-08-27,Portugal,Almada Muay Thai,Kru Sérgio Lopes,MuayThai,-56kg,55.1,163,Amateur,1,0,0,0,0
Eduardo,Falcão,,2002-01-06,Portugal,Porto Fight Academy,Mestre Hugo Cardoso,K1,-81kg,79.8,180,Amateur,1,0,0,0,0
Bárbara,Xavier,,2005-04-30,Portugal,Braga Kickboxing Clube,Mestre Vítor Pinto,Kickboxing,-56kg,55.3,161,Amateur,1,0,0,0,0
